erp_contract_id,crm_customer_id,erp_vehicle_id,start_dt,end_dt,monthly_payment,branch,contract_type,km_limit,maintenance_included,insurance_included,payment_method,contract_status,erp_last_updated
ERP_LSE000035,CRM_CUS085569,ERP_VH050062,2024-05-05,2025-04-30,9347,Kimberley,Full Maintenance,3000,Y,N,Credit Card,Active,2025-02-06 12:52
ERP_LSE000036,CRM_CUS125942,ERP_VH050609,2024-01-07,2026-12-22,20873,Pretoria,Maintenance Only,2000,Y,Y,Direct Debit,Active,2024-02-12 12:10
ERP_LSE000037,CRM_CUS028927,ERP_VH056750,2024-10-29,2027-10-14,18377,Bloemfontein,Full Maintenance,3500,Y,N,Direct Debit,Active,2025-05-31 05:00
ERP_LSE000038,CRM_CUS101104,ERP_VH021489,2025-02-04,2027-01-25,6332,Cape Town,Full Maintenance,4000,Y,Y,Direct Debit,Active,2025-04-29 16:53
ERP_LSE000039,CRM_CUS008614,ERP_VH049904,2024-03-29,2025-03-24,12673,Cape Town,Full Maintenance,3000,Y,Y,Direct Debit,Active,2024-10-09 14:28
ERP_LSE000040,CRM_CUS056371,ERP_VH016929,2023-10-21,2026-10-05,10161,Port Elizabeth,Full Maintenance,2500,N,Y,Direct Debit,Completed,2024-02-26 01:15
ERP_LSE000041,CRM_CUS102529,ERP_VH054869,2023-11-22,2026-11-06,8438,Pretoria,Full Maintenance,2000,Y,Y,Credit Card,Completed,2024-05-19 02:33
ERP_LSE000042,CRM_CUS129821,ERP_VH046557,2025-05-31,2027-05-21,14626,Durban,Full Maintenance,2500,Y,Y,Bank Transfer,Active,2025-06-10 22:17
ERP_LSE000043,CRM_CUS099795,ERP_VH014881,2023-03-22,2027-03-01,5104,Nelspruit,Full Maintenance,4000,N,Y,Credit Card,Active,2023-08-16 04:49
ERP_LSE000044,CRM_CUS141326,ERP_VH000368,2024-08-20,2027-08-05,14715,Bloemfontein,Maintenance Only,3000,N,Y,Direct Debit,Active,2024-12-31 14:47
ERP_LSE000045,CRM_CUS020013,ERP_VH059819,2023-07-08,2024-07-02,22252,Cape Town,Maintenance Only,3500,Y,Y,Direct Debit,Active,2024-12-29 13:34
ERP_LSE000046,CRM_CUS126772,ERP_VH012679,2024-09-29,2027-09-14,22801,Rustenburg,Full Maintenance,3500,N,N,Credit Card,Active,2024-12-22 08:05
ERP_LSE000047,CRM_CUS026412,ERP_VH024744,2022-11-24,2026-11-03,20320,Polokwane,Full Maintenance,4000,Y,Y,Bank Transfer,Active,2023-04-24 15:26
ERP_LSE000048,CRM_CUS054087,ERP_VH052138,2022-09-10,2023-09-05,16995,Durban,Full Maintenance,4000,Y,Y,Direct Debit,Active,2024-07-03 07:16
ERP_LSE000049,CRM_CUS095802,ERP_VH022053,2024-04-29,2028-04-08,15423,Pretoria,Full Maintenance,4000,Y,N,Direct Debit,Active,2025-01-29 23:07
ERP_LSE000050,CRM_CUS034329,ERP_VH046491,2025-06-21,2029-05-31,9692,Bloemfontein,Maintenance Only,3500,Y,N,Direct Debit,Completed,2025-06-24 15:50
ERP_LSE000051,CRM_CUS096303,ERP_VH010532,2023-01-26,2025-01-15,24140,Nelspruit,Full Maintenance,3500,Y,Y,Credit Card,Active,2023-06-26 15:09
ERP_LSE000052,CRM_CUS009820,ERP_VH032864,2023-01-19,2026-01-03,14820,Bloemfontein,Full Maintenance,3000,Y,Y,Credit Card,Active,2025-01-08 10:55
ERP_LSE000053,CRM_CUS099041,ERP_VH032325,2023-09-01,2026-08-16,5159,Polokwane,Full Maintenance,3000,Y,N,Direct Debit,Terminated,2023-09-25 14:38
ERP_LSE000054,CRM_CUS122584,ERP_VH036620,2025-02-08,2026-02-03,17086,Johannesburg,Full Maintenance,4000,Y,Y,Direct Debit,Terminated,2025-06-04 21:28
ERP_LSE000055,CRM_CUS124424,ERP_VH014961,2023-06-01,2026-05-16,12429,Pretoria,Non-Maintained,2500,Y,Y,Direct Debit,Completed,2024-08-15 02:50
ERP_LSE000056,CRM_CUS003874,ERP_VH041756,2025-03-12,2027-03-02,21929,Johannesburg,Full Maintenance,3000,Y,N,Direct Debit,Active,2025-06-14 07:10
ERP_LSE000057,CRM_CUS118687,ERP_VH018600,2024-02-06,2026-01-26,21315,Rustenburg,Maintenance Only,4000,Y,Y,Direct Debit,Completed,2025-04-16 08:25
ERP_LSE000058,CRM_CUS149613,ERP_VH008339,2024-06-09,2026-05-30,11646,Kimberley,Maintenance Only,2500,Y,Y,Credit Card,Active,2025-05-20 03:18
ERP_LSE000059,CRM_CUS063786,ERP_VH006482,2024-07-20,2025-07-15,17035,Polokwane,Full Maintenance,3500,Y,Y,Credit Card,Active,2025-04-28 09:56
ERP_LSE000060,CRM_CUS102021,ERP_VH017783,2024-09-09,2028-08-19,9736,Polokwane,Full Maintenance,2500,Y,Y,Credit Card,Active,2025-04-27 02:08
ERP_LSE000061,CRM_CUS008440,ERP_VH008964,2024-11-20,2028-10-30,11756,Johannesburg,Full Maintenance,4000,Y,Y,Credit Card,Active,2025-05-16 17:07
ERP_LSE000062,CRM_CUS106308,ERP_VH035681,2023-04-04,2025-03-24,20400,Johannesburg,Full Maintenance,2500,N,Y,Bank Transfer,Active,2024-01-08 10:21
ERP_LSE000063,CRM_CUS100436,ERP_VH029613,2024-11-14,2028-10-24,9462,Rustenburg,Full Maintenance,3000,N,Y,Direct Debit,Active,2024-11-17 01:52
ERP_LSE000064,CRM_CUS024385,ERP_VH002197,2024-04-06,2027-03-22,24428,Pretoria,Maintenance Only,2000,Y,Y,Direct Debit,Completed,2025-07-05 00:39
ERP_LSE000065,CRM_CUS102780,ERP_VH052542,2023-10-04,2026-09-18,15485,Polokwane,Maintenance Only,2500,Y,N,Direct Debit,Active,2023-10-27 17:45
ERP_LSE000066,CRM_CUS046041,ERP_VH033739,2025-01-23,2026-01-18,12692,Pretoria,Maintenance Only,2000,N,Y,Credit Card,Active,2025-02-15 07:04
ERP_LSE000067,CRM_CUS067406,ERP_VH020076,2023-07-26,2027-07-05,21938,Cape Town,Full Maintenance,2000,Y,Y,Credit Card,Active,2024-11-17 11:25
ERP_LSE000068,CRM_CUS052265,ERP_VH011960,2023-08-12,2027-07-22,18017,Kimberley,Full Maintenance,4000,Y,Y,Direct Debit,Active,2025-05-04 22:44
ERP_LSE000069,CRM_CUS034945,ERP_VH054829,2023-11-05,2024-10-30,19323,Nelspruit,Full Maintenance,3500,Y,Y,Credit Card,Active,2024-08-22 10:51
ERP_LSE000070,CRM_CUS044472,ERP_VH037403,2023-10-01,2026-09-15,17663,Durban,Maintenance Only,3500,Y,Y,Credit Card,Active,2024-09-09 23:26
ERP_LSE000071,CRM_CUS129250,ERP_VH037371,2024-02-23,2026-02-12,23029,Port Elizabeth,Full Maintenance,4000,N,Y,Direct Debit,Active,2024-09-08 14:49
ERP_LSE000072,CRM_CUS073077,ERP_VH055584,2023-10-03,2026-09-17,15562,Polokwane,Maintenance Only,3000,N,Y,Direct Debit,Active,2024-07-05 19:31
ERP_LSE000073,CRM_CUS122316,ERP_VH032391,2022-09-11,2025-08-26,13250,Johannesburg,Full Maintenance,3000,Y,Y,Direct Debit,Active,2025-03-06 02:05
ERP_LSE000074,CRM_CUS047289,ERP_VH024796,2022-08-16,2023-08-11,7805,Port Elizabeth,Maintenance Only,3000,Y,Y,Credit Card,Completed,2023-02-18 01:30
ERP_LSE000075,CRM_CUS072558,ERP_VH006899,2024-01-07,2025-12-27,11036,Polokwane,Full Maintenance,4000,N,Y,Direct Debit,Active,2025-06-03 14:33
ERP_LSE000076,CRM_CUS111255,ERP_VH026869,2024-04-07,2026-03-28,11103,Polokwane,Full Maintenance,2500,Y,Y,Direct Debit,Active,2024-06-05 21:27
ERP_LSE000077,CRM_CUS080209,ERP_VH010954,2023-04-28,2025-04-17,6523,Johannesburg,Full Maintenance,2500,Y,Y,Credit Card,Active,2024-01-24 03:34
ERP_LSE000078,CRM_CUS116770,ERP_VH026697,2022-09-04,2024-08-24,20540,Port Elizabeth,Full Maintenance,4000,Y,N,Direct Debit,Active,2024-08-11 11:35
ERP_LSE000079,CRM_CUS017992,ERP_VH038935,2023-04-10,2025-03-30,19069,Rustenburg,Maintenance Only,2500,N,N,Bank Transfer,Completed,2025-04-13 22:18
ERP_LSE000080,CRM_CUS064942,ERP_VH000709,2025-04-29,2027-04-19,21384,Polokwane,Full Maintenance,3000,Y,N,Credit Card,Active,2025-06-29 20:33
ERP_LSE000081,CRM_CUS027841,ERP_VH017849,2023-11-25,2024-11-19,19300,Bloemfontein,Full Maintenance,4000,N,N,Direct Debit,Active,2025-01-23 12:00
ERP_LSE000082,CRM_CUS124166,ERP_VH013143,2025-01-02,2026-12-23,21537,Nelspruit,Maintenance Only,3500,Y,N,Credit Card,Active,2025-01-06 20:11
ERP_LSE000083,CRM_CUS082500,ERP_VH013453,2024-07-05,2028-06-14,18261,Polokwane,Maintenance Only,3000,Y,Y,Bank Transfer,Active,2025-02-15 01:05
ERP_LSE000084,CRM_CUS123232,ERP_VH027773,2025-02-11,2028-01-27,14567,Nelspruit,Full Maintenance,2500,Y,Y,Credit Card,Active,2025-03-08 08:20
ERP_LSE000085,CRM_CUS037561,ERP_VH051470,2024-09-23,2026-09-13,19914,Cape Town,Full Maintenance,2500,N,Y,Direct Debit,Active,2025-03-26 22:08
ERP_LSE000086,CRM_CUS127992,ERP_VH050859,2024-04-25,2028-04-04,6642,Rustenburg,Full Maintenance,2000,Y,Y,Direct Debit,Active,2024-10-12 21:21
ERP_LSE000087,CRM_CUS107829,ERP_VH005930,2024-03-18,2026-03-08,12784,Rustenburg,Full Maintenance,2000,Y,Y,Direct Debit,Completed,2024-09-20 03:49
ERP_LSE000088,CRM_CUS096307,ERP_VH042248,2022-10-30,2024-10-19,13688,Bloemfontein,Full Maintenance,2000,Y,N,Direct Debit,Completed,2022-12-31 08:00
ERP_LSE000089,CRM_CUS122594,ERP_VH013424,2022-11-25,2024-11-14,24339,Johannesburg,Full Maintenance,4000,Y,Y,Direct Debit,Terminated,2024-12-08 04:55
ERP_LSE000090,CRM_CUS126840,ERP_VH008073,2025-04-16,2026-04-11,24735,Rustenburg,Maintenance Only,2500,Y,Y,Credit Card,Active,2025-06-19 05:06
ERP_LSE000091,CRM_CUS104550,ERP_VH035857,2023-02-14,2024-02-09,18380,Port Elizabeth,Full Maintenance,2000,Y,Y,Direct Debit,Active,2024-11-01 00:48
ERP_LSE000092,CRM_CUS088792,ERP_VH012361,2022-10-06,2024-09-25,16410,Johannesburg,Maintenance Only,2500,Y,Y,Credit Card,Completed,2022-12-15 20:32
ERP_LSE000093,CRM_CUS110958,ERP_VH021291,2024-10-03,2027-09-18,10880,Rustenburg,Maintenance Only,2000,Y,Y,Direct Debit,Completed,2025-05-18 18:25
ERP_LSE000094,CRM_CUS138820,ERP_VH045963,2023-04-12,2026-03-27,13226,Pretoria,Full Maintenance,3000,Y,N,Credit Card,Active,2023-08-01 21:46
ERP_LSE000095,CRM_CUS079885,ERP_VH020505,2024-12-12,2028-11-21,10394,Polokwane,Full Maintenance,4000,Y,Y,Direct Debit,Active,2025-04-20 08:24
ERP_LSE000096,CRM_CUS032767,ERP_VH058821,2025-02-10,2026-02-05,12128,Rustenburg,Full Maintenance,3000,N,Y,Direct Debit,Active,2025-05-01 05:26
ERP_LSE000097,CRM_CUS081804,ERP_VH047234,2024-03-13,2028-02-21,7322,Port Elizabeth,Full Maintenance,3500,Y,N,Credit Card,Active,2025-02-09 20:41
ERP_LSE000098,CRM_CUS106025,ERP_VH039463,2024-08-27,2026-08-17,10176,Johannesburg,Non-Maintained,3500,Y,Y,Direct Debit,Active,2025-03-16 16:44
ERP_LSE000099,CRM_CUS013989,ERP_VH026270,2022-08-04,2023-07-30,5450,Pretoria,Full Maintenance,2500,N,Y,Credit Card,Completed,2025-03-18 12:36
ERP_LSE000100,CRM_CUS114817,ERP_VH031990,2025-03-28,2028-03-12,18968,Polokwane,Full Maintenance,2500,Y,Y,Direct Debit,Active,2025-05-14 16:45
ERP_LSE000101,CRM_CUS083213,ERP_VH031187,2025-04-23,2028-04-07,22820,Rustenburg,Maintenance Only,2000,Y,N,Direct Debit,Active,2025-06-25 22:14
ERP_LSE000102,CRM_CUS125220,ERP_VH051104,2024-04-09,2028-03-19,13436,Kimberley,Maintenance Only,2500,Y,Y,Credit Card,Active,2024-08-12 08:43
ERP_LSE000103,CRM_CUS028262,ERP_VH014681,2024-04-19,2028-03-29,9501,Rustenburg,Full Maintenance,3000,Y,Y,Direct Debit,Active,2025-03-14 09:25
ERP_LSE000104,CRM_CUS102631,ERP_VH043047,2025-03-14,2027-03-04,13009,Rustenburg,Non-Maintained,3500,Y,Y,Direct Debit,Active,2025-05-17 15:59
ERP_LSE000105,CRM_CUS112775,ERP_VH016667,2023-10-25,2025-10-14,13563,Johannesburg,Full Maintenance,3000,Y,Y,Credit Card,Active,2023-11-07 10:31
ERP_LSE000106,CRM_CUS082120,ERP_VH049140,2022-11-15,2026-10-25,23727,Kimberley,Full Maintenance,2500,Y,Y,Bank Transfer,Active,2025-03-30 23:56
ERP_LSE000107,CRM_CUS147924,ERP_VH041612,2024-06-19,2027-06-04,13257,Durban,Full Maintenance,3500,N,Y,Direct Debit,Completed,2025-06-04 04:26
ERP_LSE000108,CRM_CUS136730,ERP_VH059964,2025-01-12,2026-01-07,16402,Rustenburg,Full Maintenance,2500,Y,Y,Direct Debit,Active,2025-03-27 17:46
ERP_LSE000109,CRM_CUS000150,ERP_VH000637,2023-05-27,2025-05-16,21053,Johannesburg,Full Maintenance,4000,Y,Y,Direct Debit,Completed,2023-12-14 18:29
ERP_LSE000110,CRM_CUS100857,ERP_VH037203,2023-07-02,2026-06-16,20278,Kimberley,Maintenance Only,4000,Y,Y,Direct Debit,Active,2024-11-19 17:36
ERP_LSE000111,CRM_CUS056554,ERP_VH004608,2023-03-06,2025-02-23,20903,Pretoria,Maintenance Only,4000,Y,Y,Direct Debit,Active,2024-10-30 13:34
ERP_LSE000112,CRM_CUS093300,ERP_VH038059,2022-09-13,2024-09-02,20203,Johannesburg,Full Maintenance,3000,Y,Y,Credit Card,Active,2025-01-26 07:17
ERP_LSE000113,CRM_CUS008700,ERP_VH058896,2024-08-10,2025-08-05,21324,Polokwane,Full Maintenance,3500,Y,Y,Direct Debit,Active,2025-06-09 23:06
ERP_LSE000114,CRM_CUS027347,ERP_VH006851,2025-01-24,2027-01-14,10829,Rustenburg,Full Maintenance,2000,Y,Y,Credit Card,Active,2025-06-25 09:18
ERP_LSE000115,CRM_CUS140625,ERP_VH010798,2024-08-07,2026-07-28,18772,Rustenburg,Non-Maintained,3000,Y,Y,Direct Debit,Active,2024-09-28 23:59
ERP_LSE000116,CRM_CUS142445,ERP_VH006570,2024-05-15,2027-04-30,13290,Bloemfontein,Maintenance Only,2000,Y,N,Credit Card,Active,2024-06-12 14:32
ERP_LSE000117,CRM_CUS041072,ERP_VH026655,2023-08-03,2027-07-13,24466,Durban,Full Maintenance,2000,Y,Y,Credit Card,Active,2025-01-14 06:42
ERP_LSE000118,CRM_CUS043184,ERP_VH016571,2025-03-22,2027-03-12,5958,Cape Town,Full Maintenance,3500,Y,Y,Credit Card,Completed,2025-05-21 15:42
ERP_LSE000119,CRM_CUS006634,ERP_VH046728,2025-04-20,2028-04-04,24884,Pretoria,Full Maintenance,2500,Y,Y,Credit Card,Active,2025-06-05 22:58
ERP_LSE000120,CRM_CUS056591,ERP_VH011812,2024-11-24,2025-11-19,9698,Durban,Maintenance Only,3500,Y,Y,Direct Debit,Completed,2024-12-21 19:08
ERP_LSE000121,CRM_CUS044671,ERP_VH003498,2024-07-26,2027-07-11,13394,Nelspruit,Full Maintenance,3000,Y,N,Direct Debit,Active,2024-09-21 21:00
ERP_LSE000122,CRM_CUS065571,ERP_VH052748,2024-11-20,2028-10-30,24372,Port Elizabeth,Full Maintenance,3500,N,Y,Credit Card,Completed,2025-01-13 09:42
ERP_LSE000123,CRM_CUS040347,ERP_VH039223,2024-01-31,2027-01-15,17456,Pretoria,Maintenance Only,3500,Y,Y,Direct Debit,Active,2025-01-23 17:28
ERP_LSE000124,CRM_CUS016137,ERP_VH041018,2023-10-10,2027-09-19,17742,Johannesburg,Full Maintenance,3500,Y,Y,Credit Card,Active,2025-01-16 04:21
ERP_LSE000125,CRM_CUS066976,ERP_VH045356,2022-09-01,2026-08-11,20425,Bloemfontein,Full Maintenance,3500,Y,Y,Direct Debit,Active,2024-10-03 09:53
ERP_LSE000126,CRM_CUS048518,ERP_VH026459,2023-03-08,2025-02-25,6544,Rustenburg,Non-Maintained,4000,Y,Y,Bank Transfer,Active,2023-11-10 11:54
ERP_LSE000127,CRM_CUS111151,ERP_VH051743,2022-07-15,2024-07-04,7764,Pretoria,Full Maintenance,3000,Y,Y,Bank Transfer,Terminated,2023-08-30 04:34
ERP_LSE000128,CRM_CUS130126,ERP_VH028129,2023-04-04,2025-03-24,8764,Rustenburg,Full Maintenance,2000,Y,N,Direct Debit,Active,2024-01-07 12:44
ERP_LSE000129,CRM_CUS105935,ERP_VH020742,2025-06-14,2026-06-09,12298,Johannesburg,Maintenance Only,2000,Y,Y,Bank Transfer,Active,2025-06-14 12:53
ERP_LSE000130,CRM_CUS109490,ERP_VH038302,2022-11-14,2025-10-29,17757,Polokwane,Non-Maintained,2500,Y,N,Direct Debit,Active,2024-09-22 23:15
ERP_LSE000131,CRM_CUS024322,ERP_VH000115,2023-07-22,2026-07-06,19223,Nelspruit,Maintenance Only,2000,Y,Y,Direct Debit,Active,2024-02-25 06:42
ERP_LSE000132,CRM_CUS136167,ERP_VH020097,2023-07-08,2025-06-27,16455,Port Elizabeth,Maintenance Only,4000,Y,Y,Direct Debit,Terminated,2023-12-22 16:52
ERP_LSE000133,CRM_CUS134003,ERP_VH034217,2023-07-25,2025-07-14,9304,Cape Town,Full Maintenance,4000,Y,Y,Bank Transfer,Active,2025-01-24 00:12
ERP_LSE000134,CRM_CUS049385,ERP_VH025738,2025-02-07,2026-02-02,18336,Pretoria,Maintenance Only,2000,N,Y,Direct Debit,Active,2025-03-23 08:07
ERP_LSE000135,CRM_CUS013803,ERP_VH024086,2022-08-17,2023-08-12,15249,Rustenburg,Full Maintenance,3500,N,Y,Direct Debit,Active,2024-09-21 03:34
ERP_LSE000136,CRM_CUS074267,ERP_VH049607,2023-10-01,2025-09-20,7558,Bloemfontein,Full Maintenance,2500,Y,N,Direct Debit,Active,2025-01-12 19:38
ERP_LSE000137,CRM_CUS055207,ERP_VH000946,2024-01-02,2026-12-17,8440,Bloemfontein,Full Maintenance,4000,N,Y,Credit Card,Completed,2024-04-15 16:05
ERP_LSE000138,CRM_CUS030196,ERP_VH054395,2023-12-24,2027-12-03,5938,Port Elizabeth,Maintenance Only,3000,N,Y,Credit Card,Active,2024-04-28 17:10
ERP_LSE000139,CRM_CUS076696,ERP_VH054981,2023-01-16,2026-12-26,12502,Cape Town,Full Maintenance,4000,N,Y,Direct Debit,Active,2024-11-17 12:13
ERP_LSE000140,CRM_CUS112848,ERP_VH048761,2024-12-31,2028-12-10,19205,Durban,Full Maintenance,3000,Y,Y,Direct Debit,Active,2025-03-30 22:52
ERP_LSE000141,CRM_CUS144961,ERP_VH037403,2024-04-28,2026-04-18,10839,Polokwane,Full Maintenance,3500,N,Y,Bank Transfer,Active,2024-07-13 05:34
ERP_LSE000142,CRM_CUS120975,ERP_VH000768,2023-01-24,2025-01-13,17932,Cape Town,Full Maintenance,3000,Y,Y,Credit Card,Active,2024-12-29 11:58
ERP_LSE000143,CRM_CUS048682,ERP_VH021539,2025-02-09,2027-01-30,19512,Bloemfontein,Maintenance Only,2000,Y,Y,Credit Card,Completed,2025-04-09 01:40
ERP_LSE000144,CRM_CUS010519,ERP_VH025394,2023-08-18,2025-08-07,24180,Port Elizabeth,Maintenance Only,4000,Y,Y,Direct Debit,Active,2023-10-06 08:20
ERP_LSE000145,CRM_CUS012364,ERP_VH056417,2025-01-05,2027-12-21,7346,Cape Town,Maintenance Only,4000,Y,N,Direct Debit,Active,2025-04-10 00:05
ERP_LSE000146,CRM_CUS050969,ERP_VH028016,2022-07-16,2023-07-11,16431,Johannesburg,Full Maintenance,2500,Y,Y,Credit Card,Active,2022-11-03 04:04
ERP_LSE000147,CRM_CUS121026,ERP_VH050248,2025-03-24,2029-03-03,21126,Durban,Full Maintenance,4000,Y,Y,Direct Debit,Completed,2025-06-29 11:22
ERP_LSE000148,CRM_CUS080317,ERP_VH001581,2024-10-03,2027-09-18,16480,Durban,Full Maintenance,3500,N,N,Direct Debit,Active,2024-10-14 21:41
ERP_LSE000149,CRM_CUS098820,ERP_VH019494,2023-04-24,2024-04-18,23694,Rustenburg,Maintenance Only,2000,Y,Y,Credit Card,Active,2024-05-30 18:48
ERP_LSE000150,CRM_CUS137670,ERP_VH044226,2022-08-25,2025-08-09,22537,Polokwane,Full Maintenance,2000,N,Y,Direct Debit,Active,2022-12-14 20:29
ERP_LSE000151,CRM_CUS080485,ERP_VH020410,2022-08-28,2026-08-07,8611,Kimberley,Full Maintenance,3000,Y,Y,Direct Debit,Active,2023-08-14 09:43
ERP_LSE000152,CRM_CUS063375,ERP_VH043384,2023-07-23,2026-07-07,16840,Durban,Full Maintenance,2500,Y,N,Credit Card,Active,2024-03-18 12:53
ERP_LSE000153,CRM_CUS106964,ERP_VH030870,2023-07-02,2026-06-16,5646,Port Elizabeth,Full Maintenance,2500,Y,N,Credit Card,Active,2025-01-30 19:03
